id,conversation_id,date,timezone,place,tweet,language,hashtags,cashtags,user_id,username,name,day,hour,nlikes,nreplies,nretweets,search,Category,Text,polarity,polarity_inset,Sentiment
1582879334355697664,1582752777490817024,2022-10-20 06:40:16,+0700,,@devynamira Halodoc ada kyknya dep,in,[],[],714117848,fathurdwiyan,Dwiyan Fathurrahman,4,06,0,0,0,halodoc,Halodoc,halodoc kayak dep,0.0,-0.6124,Neutral
1582876349655842817,1571124342226063360,2022-10-20 06:28:24,+0700,,@jungkookcanteek @ohmybeautybank Aku gak pernah isi saldo halodoc sih ._.  Selama ini bayar pake saldo gpay atau pake mbanking. Jadi nanti setelah pilih dokter ada tahap bayar disitu bisa pilih mau bayar pake apa. Mungkin perlu verifikasi pake ktp dulu baru bisa isi saldo halodoc,in,[],[],1165157303718273025,milkeuteee,'ㅅ',4,06,0,1,0,halodoc,Halodoc,isi saldo halodoc sih bayar pakai gpay mbanking pilih dokter tahap situ verifikasi ktp,0.0,-0.14190000000000003,Neutral
1582871030590492672,1582557907584880645,2022-10-20 06:07:16,+0700,,@convomfs Aku di halodoc,in,[],[],1177340706110574592,fitrifitratee,Pitrate 🙋🏻‍♀️,4,06,0,0,0,halodoc,Halodoc,halodoc,0.0,0.0,Neutral
1582867343017152512,1582728235489849344,2022-10-20 05:52:37,+0700,,@SkylalilyCBH Aduh sky😭😭 coba kamu tanya halodoc ato dokter kandungan kamu bagusnya gmn aku ga berani ngasih saran lain,in,[],[],1140313913646436352,inibeeraas,baebaehyun,4,05,0,0,0,halodoc,Halodoc,aduh sky coba halodoc dokter kandung bagus berani asih saran,0.8402,-0.019199999999999995,Positive
1582840492881891328,1582711656789876736,2022-10-20 04:05:55,+0700,,"@kochengfs Kasian banget liatnya, padahal kl gaada waktu ke vet jg skrg bisa konsul drh pake halodoc loh dan biaya konsulnya jg murah bgt di halodoc. Kenaoa berani beraninya sembarangan ngasih obat😭",in,[],[],1539005079998459904,mommy2cats_,pencinta mozzarella,4,04,0,0,0,halodoc,Halodoc,kasihan banget lihat kalo vet konsultasi drh pakai halodoc loh biaya konsul murah kenaoa berani berani sembarang asih obat,0.875,0.016599999999999948,Positive
1582817197184806912,1582817197184806912,2022-10-20 02:33:21,+0700,,"Disaat butuh, malah error… ini Halodoc kenapa dah 🥲",in,[],[],1535342422665834496,whitetea27,sun & moon 🌓,4,02,0,0,0,halodoc,Halodoc,saat butuh error halodoc deh,0.0,-0.9325,Neutral
1582787021533106177,1582412735824134145,2022-10-20 00:33:27,+0700,,@ErsaTriWahyuni Tadi Nemu di halodoc  https://t.co/vbZyE90lGG,in,[],[],1343759084554649602,deki_hamdani,Deki Hamdani,4,00,0,0,0,halodoc,Halodoc,nemu halodoc,0.0,-0.4588,Neutral
1582785038302687232,1582727699650424832,2022-10-20 00:25:34,+0700,,"@worksfess 5,5jt full wfh kerja apanich jadi ingin. Btw konsul dulu nder ke dokter,halodoc aja mure. Lalu cari tau sampe detil apakah operasi bs membereskan kantong mata kamu atau ada metode lain. Kalo lipatan mata harga segitu keknya dapet yg krg bagus nder",in,[],[],1454147328235823105,Bejobenjo1,akun_mainan,4,00,0,0,0,halodoc,Halodoc,5 5jt full wfh kerja apanich btw konsultasi nder dokter halodoc mure cari tau detil operasi beres kantong mata metode lipat harga segitu kayak krg bagus,0.7184,-0.03739999999999999,Positive
1582783303199096832,1582783303199096832,2022-10-20 00:18:40,+0700,,psikolog yg bagus di halodoc siapa ya? any recommendations? thanks✨,in,[],[],139038503,ghinsssss,𝘨𝘩𝘪𝘯𝘢 𝘸𝘪𝘵𝘩 𝘩,4,00,0,3,0,halodoc,Halodoc,psikolog bagus halodoc ya any recommendations thanks,0.7184,0.20019999999999993,Positive
1582777995886231552,1582777995886231552,2022-10-19 23:57:35,+0700,,Halodoc...... 😭👏,tl,[],[],1094218907265593344,analektas,Khania,3,23,0,0,0,halodoc,Halodoc,halodoc,0.0,0.0,Neutral
